key,Model,Macro F1_mean,Macro F1_std,Macro F1_count,Accuracy_mean,Accuracy_std,Accuracy_count,Balanced Acc_mean,Balanced Acc_std,Balanced Acc_count,Macro Precision_mean,Macro Precision_std,Macro Precision_count,Macro Recall_mean,Macro Recall_std,Macro Recall_count,Macro ROC-AUC_mean,Macro ROC-AUC_std,Macro ROC-AUC_count,MCC_mean,MCC_std,MCC_count,Parameters (M),Inference (ms),Training (min)
efficientnet,EfficientNetV2-S,0.6202376867960712,0.013533510933020217,3,0.8935817805383023,0.007252289808752443,3,0.6311056900353297,0.011979450644060408,3,0.6246989135535149,0.023301732924477767,3,0.6311056900353297,0.011979450644060408,3,0.9402695913312275,0.022666728703936274,3,0.8849288831216748,0.0077641415991688625,3,20.21,11.102333333333334,42.833333333333336
resnet,ResNet-50,0.6081882627361588,0.012359154971003436,3,0.886128364389234,0.001996615064387724,3,0.625063912611392,0.018128190584701526,3,0.6001697801024716,0.011563964075955944,3,0.625063912611392,0.018128190584701526,3,0.9232126014107775,0.011253033610346432,3,0.8767608374549258,0.002054338400299018,3,23.56,3.797333333333333,13.546666666666667
yolo11,YOLO11s-cls,0.6008365743659737,0.016990388994506632,3,0.8991718426501035,0.007252289808752413,3,0.6041665281114107,0.014256929618564488,3,0.6063734297928994,0.019836561083391498,3,0.6041665281114107,0.014256929618564488,3,0.9853928797775836,0.004814505319116504,3,0.8908277451649661,0.007805679525151827,3,5.47,3.062,5.323333333333333
yolov8,YOLOv8s-cls,0.5785428590367702,0.00824526237768501,3,0.8904761904761904,0.003063902398954137,3,0.5861619171323111,0.004721556675830009,3,0.5773838620082765,0.01734745443909584,3,0.5861619171323111,0.004721556675830009,3,0.986214373260554,0.003127119329286262,3,0.881300991322063,0.0033845377979527524,3,5.11,2.221,4.016666666666667
